む,むらさめの つゆもまだひぬ まきのはに,きりたちのほるあきのゆふくれ
なにわえ,なにわえの あしのかりねの ひとよゆえ,みをつくしてやこひわたるへき
なにわが,なにわがた みじかきあしの ふしのまも,あはてこのよをすくしてよとや
あい,あいみての のちのこころにくらぶれば,むかしはものをおもはさりけり
あきか,あきかぜに たなびくくもの たえまより,もれいつるつきのかけのさやけさ
あきの,あきのたの かりおのいおの とまをあらみ,わかころもてはつゆにぬれつつ
あけ,あけぬれば くるるものとは しりながら,なほうらめしきあさほらけかな
あさじ,あさじうの おののしのはら しのぶれど,あまりてなとかひとのこひしき
あさぼらけ,あさぼらけあ りあけのつきと みるまでに,よしののさとにふれるしらゆき
あさぼらけ,あさぼらけう じのかわぎり たえだえに,あらはれわたるせせのあしろき
あし,あしびきの やまどりのおの しだりおの,なかなかしよをひとりかもねむ
あまつ,あまつかぜ くものかよいじ ふきとじよ,をとめのすかたしはしととめむ
あまの,あまのはら ふりさけみれば かすがなる,みかさのやまにいてしつきかも
あらざ,あらざらん このよのほかの おもいでに,いまひとたひのあふこともかな
あらし,あらしふく みむろのやまの もみじばは,たつたのかはのにしきなりけり
ありあ,ありあけの つれなくみえし わかれより,あかつきはかりうきものはなし
ありま,ありまやま いなのささはら かぜふけば,いてそよひとをわすれやはする
あわじ,あわじしま かようちどりの なくこえに,いくよねさめぬすまのせきもり
あわれ,あわれとも いうべきひとは おもおえで,みのいたつらになりぬへきかな
